model,strategy,threshold_type,minimum_score,minimum_gap,accepted_suggestions,abstained,coverage_percentage,accepted_accuracy,incorrect_accepted_suggestions
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.25,0.08,69,77,47.26027397260274,0.8695652173913043,9
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.25,0.1,63,83,43.15068493150685,0.9206349206349206,5
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.25,0.12,53,93,36.3013698630137,0.9622641509433962,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.25,0.15,42,104,28.767123287671232,0.9761904761904762,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.25,0.2,26,120,17.80821917808219,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.3,0.01,73,73,50.0,0.8356164383561644,12
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.3,0.02,71,75,48.63013698630137,0.8450704225352113,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.3,0.03,69,77,47.26027397260274,0.8405797101449275,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.3,0.04,67,79,45.89041095890411,0.8656716417910447,9
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.3,0.05,64,82,43.83561643835616,0.859375,9
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.3,0.06,64,82,43.83561643835616,0.859375,9
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.3,0.08,62,84,42.465753424657535,0.8709677419354839,8
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.3,0.1,56,90,38.35616438356164,0.9285714285714286,4
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.3,0.12,48,98,32.87671232876713,0.9791666666666666,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.3,0.15,39,107,26.71232876712329,0.9743589743589743,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.3,0.2,26,120,17.80821917808219,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.35,0.01,52,94,35.61643835616438,0.8846153846153846,6
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.35,0.02,50,96,34.24657534246575,0.9,5
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.35,0.03,50,96,34.24657534246575,0.9,5
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.35,0.04,50,96,34.24657534246575,0.9,5
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.35,0.05,49,97,33.56164383561644,0.8979591836734694,5
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.35,0.06,49,97,33.56164383561644,0.8979591836734694,5
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.35,0.08,47,99,32.19178082191781,0.9148936170212766,4
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.35,0.1,42,104,28.767123287671232,0.9761904761904762,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.35,0.12,38,108,26.027397260273972,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.35,0.15,32,114,21.91780821917808,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.35,0.2,25,121,17.123287671232877,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.4,0.01,36,110,24.65753424657534,0.9444444444444444,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.4,0.02,35,111,23.972602739726028,0.9428571428571428,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.4,0.03,35,111,23.972602739726028,0.9428571428571428,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.4,0.04,35,111,23.972602739726028,0.9428571428571428,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.4,0.05,34,112,23.28767123287671,0.9411764705882353,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.4,0.06,34,112,23.28767123287671,0.9411764705882353,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.4,0.08,32,114,21.91780821917808,0.96875,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.4,0.1,29,117,19.863013698630137,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.4,0.12,27,119,18.493150684931507,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.4,0.15,22,124,15.068493150684931,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.4,0.2,20,126,13.698630136986301,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.45,0.01,22,124,15.068493150684931,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.45,0.02,21,125,14.383561643835616,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.45,0.03,21,125,14.383561643835616,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.45,0.04,21,125,14.383561643835616,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.45,0.05,21,125,14.383561643835616,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.45,0.06,21,125,14.383561643835616,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.45,0.08,21,125,14.383561643835616,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.45,0.1,21,125,14.383561643835616,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.45,0.12,19,127,13.013698630136986,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.45,0.15,18,128,12.32876712328767,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.45,0.2,17,129,11.643835616438356,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.5,0.01,9,137,6.164383561643835,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.5,0.02,9,137,6.164383561643835,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.5,0.03,9,137,6.164383561643835,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.5,0.04,9,137,6.164383561643835,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.5,0.05,9,137,6.164383561643835,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.5,0.06,9,137,6.164383561643835,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.5,0.08,9,137,6.164383561643835,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.5,0.1,9,137,6.164383561643835,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.5,0.12,8,138,5.47945205479452,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.5,0.15,7,139,4.794520547945205,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.5,0.2,7,139,4.794520547945205,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.55,0.01,7,139,4.794520547945205,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.55,0.02,7,139,4.794520547945205,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.55,0.03,7,139,4.794520547945205,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.55,0.04,7,139,4.794520547945205,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.55,0.05,7,139,4.794520547945205,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.55,0.06,7,139,4.794520547945205,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.55,0.08,7,139,4.794520547945205,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.55,0.1,7,139,4.794520547945205,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.55,0.12,7,139,4.794520547945205,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.55,0.15,6,140,4.109589041095891,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.55,0.2,6,140,4.109589041095891,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.6,0.01,2,144,1.36986301369863,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.6,0.02,2,144,1.36986301369863,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.6,0.03,2,144,1.36986301369863,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.6,0.04,2,144,1.36986301369863,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.6,0.05,2,144,1.36986301369863,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.6,0.06,2,144,1.36986301369863,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.6,0.08,2,144,1.36986301369863,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.6,0.1,2,144,1.36986301369863,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.6,0.12,2,144,1.36986301369863,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.6,0.15,1,145,0.684931506849315,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.6,0.2,1,145,0.684931506849315,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.65,0.01,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.65,0.02,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.65,0.03,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.65,0.04,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.65,0.05,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.65,0.06,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.65,0.08,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.65,0.1,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.65,0.12,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.65,0.15,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.65,0.2,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.7,0.01,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.7,0.02,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.7,0.03,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.7,0.04,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.7,0.05,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.7,0.06,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.7,0.08,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.7,0.1,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.7,0.12,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.7,0.15,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.7,0.2,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.75,0.01,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.75,0.02,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.75,0.03,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.75,0.04,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.75,0.05,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.75,0.06,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.75,0.08,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.75,0.1,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.75,0.12,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.75,0.15,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.75,0.2,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.8,0.01,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.8,0.02,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.8,0.03,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.8,0.04,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.8,0.05,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.8,0.06,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.8,0.08,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.8,0.1,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.8,0.12,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.8,0.15,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.8,0.2,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.85,0.01,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.85,0.02,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.85,0.03,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.85,0.04,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.85,0.05,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.85,0.06,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.85,0.08,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.85,0.1,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.85,0.12,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.85,0.15,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.85,0.2,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.9,0.01,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.9,0.02,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.9,0.03,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.9,0.04,0,146,0.0,,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.9,0.05,0,146,0.0,,0
